Job Name,Company Name,Salary,Description,Welfare
資訊專員,立偉電子股份有限公司,待遇面議,"工作內容:  (非撰寫程式人員，偏向PM管理與系統分析設計)
1. 與使用者、管理階層、供應商及技術人員共同評估電腦與系統之需求。
2. 確保各部門之資訊設備順暢運作(CTI話務系統、專案應用系統、表單系統...)，並分析工作流程，排定作業順序，設立標準。
3. 評估公司對於資訊科技的需求，並提出改善方案（如：軟硬體更新）。
4. 建構電腦資訊系統，確保資料之安控，並進行損害修復。
5. 指派並監督系統分析師、程式設計師與其他電腦相關作業人員的工作。
6. 檢視系統圖表與程式，並於安裝使用前確認其安全性與適當性。
7. 控制設備操作之預算與支出編列執行。
8. 政府標案計畫撰寫與提供數據(導入AI)
9. 協助長照機構設立軟硬體規劃與委外廠商管控
10.協助新產品市場資訊蒐集與分析建議
11.願意接受公司長期培訓課程、例如語言、專業知識與技能，及參展訪問.
12.協助 ISO文件與異動.
13.其他交辦事項，須配合組織任務完成，可適當配合加班和出差.
","【基本制度、福利】
◆ 保險
       勞保、健保、團體醫療保險
◆ 休假制度
       週休二日、特休、陪產假、及法令規範之休假。
◆ 制度類
       完整的營業/技能養成訓練，年度晉升審查辦法，業績獎勵辦法等。
◆ 休閒、運動
       體適能中心
◆ 員工健康促進
       專任臨場醫生、護士守護員工健康
◆ 其他福利
       慶生會、員工旅遊、及集團大型活動等

【薪       資】
       1.視個人學/經歷及工作內容 敘薪。
       2.正職員工保障年薪14個月 。

【正式員工福利】
◆ 分紅 
       視營運狀況發給員工紅利
◆ 獎金 / 禮品
        結婚/喪葬禮金、端午、中秋及年終獎金。"
資訊專員,茂盛醫院,"月薪30,000~35,000元","1.電腦及周邊設備安裝，設定問題排除
2.軟體系統維護設定、安裝及問題排除
3.機房、伺服器、網路設備、電話系統、監控系統、門禁系統監控暨維護
4.資料庫管理、簡易程式開發
5.有工作熱忱、責任感、完成主管交辦事項","◆ 獎金/禮品類
(1)年終獎金
(2)年節獎金
(3)績效獎金（依職務設定）
(4)簽約獎金
(5)考核獎金

◆ 訓練
(1)進修補助公假
(2)護理師學分課程
(3)BLS、NRP課程
(4)在職教育訓練

◆優惠
(1)員工及其眷屬就醫優待
(2)護理之家入住優惠
(3)員工體檢

◆ 補助金/津貼
(1)生日禮金
(2)旅遊津貼
(3)婚喪津貼
(4)生產生育補助
(5)慰問金
(6)醫事人員公會常年會費補助

◆ 其他
(1)旺年會/抽獎
(2)團體保險

 ※以上福利制度兼職人員部分不同或不適用       "
櫃臺行政專員（總薪資38000~45000以上 )， 打字快 50字/分 以上 熟悉電腦相關操作 資料處理 會計 相關科系佳 院內有晉升管道 可以轉美容諮詢,靚優健康醫學美容診所,"月薪35,000~45,000元","加入靚優健康醫學美容診所，與我們一起照亮每一天！

職位開放：櫃台行政專員

這是一份特別的工作：
我們在尋找一位不僅具備專業技能，而且能夠用心微笑迎接每一位走進我們診所的客戶的櫃台行政專員。如果你對美容充滿熱情，喜歡在充滿支持和關懷的環境中工作，這里就是你的舞台。

你的角色將包括：

溫暖接待： 用你最甜美的微笑迎接每一位客戶，讓他們的診所體驗從接觸的第一刻就充滿溫暖。
行政支持： 整理文件、處理預約，確保診所的每一天都井然有序。
院長的右手： 協助院長處理日常事務，你的效率和細心將使診所運作更加順暢。
希望你帶來：

快速而準確的打字技能（每分鐘50-75字）。
精通基本辦公軟件，如Excel、Word。
對醫學美容的熱情，如果你已有經驗，那是加分項！
你將收穫：

靈活的工作時間，確保工作與生活的平衡。
具競爭力的薪資與獎金計劃，優秀者加薪快速。
一個學習和成長的平台，我們鼓勵每一位成員發展其潛力。
這里不僅是工作，更是一個大家庭，我們期待你的加入！","★員工福利★
1.薪資：具市場競爭力的薪資水準
2.獎金：年終獎金、銷售獎金、三節獎金(或禮品)、業績達標獎金
3.保險：勞保、健保、勞退提撥
4.休閒：不定期部門聚餐 旅遊
5.制度：提供員工制服、教育訓練
6.休假：依人事行政局休假，一切符合勞基法規定之假別及加班制度
7.其他：享有員購價，親友優惠價"
【杏一醫療用品★福利優】數據分析師_AKA,杏一醫療用品股份有限公司,待遇面議,"【職務內容】
1.數據處理及分析，建立各類管理數據指標，產製相關報表，提供各業管單位觀察與建議。
2.商品營銷分析及數據監測，定期進行分析以提供行銷策略擬定參考。
3.協助各單位了解數據應用、發揮數據應用價值以輔助業管單位建立有效的因應或改善方案。
4.營運改善專案推動與管理。

---------------------------------

●完整的教育訓練   ●透明的升遷制度
●良好的辦公氛圍   ●豐厚的獎金及福利
","以下福利兼職/實習生也有喔！

【獎金福利】
◆ 三節獎金、年終獎金、生日禮金－現金任你花
◆ 月績優獎金－8千獎金等你拿（依門市及職稱有差異）
◆ 團體紅利獎金－月收額外增加2萬不是夢（依門市及職稱有差異）
◆ 個人銷售績效獎金
◆ 推薦人才獎金－最高4萬8千元呷好逗相報
◆ 在職員工獎學金 以及 子女獎學金
◆ 育兒補助－協助政府幫你一起養小孩
◆ 醫護相關科系背景或具有醫護相關執照另有加給

【制度福利－陪你一起成長】
◆ 完善順暢之升遷管道
◆ 完整的在職教育訓練：非醫護背景也沒關係哦！
（新人訓練、在職訓練、職階晉升教育、外訓補助）
◆ 明確且快速的調薪制度(每年6月及12月依照晉等進行調薪)

【休閒福利－努力工作，認真玩】
◆ 每年一次免費健康檢查－守護夥伴身體健康
◆ 紓壓按摩服務(總部)
◆ 公司同樂的員工聚餐
◆ 年終尾牙，紅包抽獎樣樣來
◆ 員工旅遊、獎勵旅遊
§ 杏福員旅足跡 §
2023韓國釜山 / 花蓮
2022綠島 / 小琉球 / 阿里山
2021澎湖 / 南投
2020金門 / 花東
2019菲律賓宿霧
2018日本北海道

【不會少的基本款】
◆ 月休8~10天+國定假日
◆ 任職滿半年即享年假
◆ 保險－勞健保 、勞退提撥、團體意外險
◆ 補助－結婚補助、住院醫療及喪葬、急難慰問金
◆ 依勞基法給假（婚假、喪假、生理假、育嬰留職停薪假等）
◆ 免費制服

【其他福利】
◆ 員購優惠－門市商品5折起，保健營養品荷包無痛買
◆ 專業藥師、護理師常駐，健康知識免費諮詢
◆ 最新商品搶先試用
◆ 便利的汽機車停車位(總部)
◆ 配備專屬電腦(總部)

"
【科技數位人才聯合招募】AI產品分析師 AI Product Analyst,國泰健康管理顧問股份有限公司,待遇面議,"本職務採先投、先審、先錄取！對於職缺有興趣的夥伴，歡迎手刀投遞，別錯過機會！

【About Us】
歡迎加入「國泰健康管理」！我們是一個充滿活力、追求創新、以數據和科技驅動健康管理變革的團隊！在這裡，你將與一群熱愛科技、關心健康、充滿創造力的夥伴並肩作戰，共同探索智能健康的無限可能。

我們同樣相信「想要健康不能靠感覺」，
而是要依靠精準的數據和AI技術。通過數據分析和AI的力量，
我們能夠深入理解健康數據，提供更精確、更個性化的健康管理解決方案，真正實現健康與生活的無縫融合。
我們的團隊專注於利用先進的生成式AI、機器學習和深度學習技術，將數據轉化為有價值的健康洞見。
無論是運動方式、飲食建議、營養補給，還是醫療服務的轉介，我們都致力於提供高效且可持續的數據驅動型健康策略，讓每個人都能在生活中隨時掌握自己的健康狀況。
我們堅信，數據與AI的結合將引領未來的健康管理革命。
讓健康不再是一種感覺，而是有科學、有依據的生活方式改變。我們的目標就是讓每個人都能擁有健康、自信的生活，實踐『健康就在生活裡，解方就在數據裡』。

【 你要做什麼呢 ？】
1.分析市場需求和競爭環境，研究AI產品的潛在市場和用戶需求。
2.收集和分析用戶數據、產品使用情況和市場反饋，提出產品改進和優化建議。
3.與產品開發團隊緊密合作，確保產品設計符合市場需求和用戶期望。
4.定期撰寫產品分析報告，評估產品性能、市場表現和用戶反饋，並提供策略性建議。
5.監測產品生命周期，包括上市後的持續改進和版本更新。","【 開放、友善的職場文化 】
．我們鼓勵擁抱挑戰、One Team團隊協作、共創績效的文化，不被自己的角色侷限，支 持主動提出任何能幫助現況更好的建議，讓您發揮自身影響力。
．我們鼓勵並建立暢通的溝通文化：每年度高階主管與基層同仁座談聊聊、內部建立溝通信箱、員工滿意度調查與進度回報，一起讓工作環境更好！
．定期執行年度員工關係關懷活動．不定期部門聚餐活動、年度尾牙或春酒不可少！

【國泰健康管理，當你的健康守門員】
．涵蓋直系眷屬的團體保險方案（包含定期壽險、住院醫療、失能險等）由公司全額負擔保費，直系眷屬也納入理賠範圍，照顧你，也守護你的家人！
．在職員工每年提供一次免費企業高端健檢檢查健康。
．諮商補助（EAP 職涯/心理/健康/法律/財務諮詢）。
．我們營養師、健管師、護理師就是你的同事！就在你的身旁！
．集團健康活動：每季集團健走日、全集團步步攻億走、公司運動會、員工運動社團等活動。

【 獎金多元、特約優惠 ，幸福感爆棚】
． 年終獎金、 集團資深員工獎勵金。
． 伙食津貼 $4,500/季、端午/ 中秋禮金各$3,000、生日禮金$2,500、年度護士節禮券、員工自選福利禮券也還有各類技術人員證照津貼等。
． 下一段人生祝福：結婚補助$11,000、結婚禮金 $4,600、生育補助$11,000….等。
． 人才推薦、口碑推廣（親友透過你選擇公司服務），你都能享有各類業務推廣獎金！

【舒適的工作環境，職能職涯不卡卡】
． 舒適的自助交誼廳， 研磨咖啡機！讓你不用再跑便利商店醒醒腦！
． 提供冰箱、微波爐、蒸飯箱等，自備便當不用再煩惱！
． 完整的內外部教育訓練、線上學習平台 Hahow，讓你在工作中也能有機會技能數點滿！
． 三大語言學習平台（巨匠、TutotrABC、科見等）學費優惠。
． 多元職場能力發展、集團內部轉調機會。

【 享優於勞基法規之假別】
．全薪的健檢假：任職滿一年以上的正職全職同仁，每年可靈活安排健康檢查時間， 且不影響特休時數，讓員工能夠定期檢視健康狀況。
．健康守護保障：每位同仁每年可享有5天全薪病假的保障，確保員工能專心修養。

【國泰一家人 集團滿貫獨享優惠】
． 國泰健管（健康檢查/產後住房/醫美療程優惠/健促營養品等）員工及眷屬優惠。
． 杏保醫網（社區診所）掛號費、自費疫苗、復健等優惠。
． 國泰商旅（和逸、慕軒、國泰萬怡等）住宿、餐旅優惠專案。
． 國泰醫院掛號費、住院優免（含眷屬）。
． 國泰霖園集團小樹購，享有員工優惠價格。
． 其他集團特約廠商優惠（飲品、餐點折扣優惠）。
． 台灣大哥大企業客戶、筆電、螢幕、3C 產品專屬優惠：員工及眷屬皆可適用！

備註：各項福利制度適用公司保有變更權力。"
【資管組】軟體工程師,東元醫療社團法人東元綜合醫院,"月薪36,000~62,000元","1.負責程式開發、設計、測試、維護。
 -程式設計：負責系統的規劃/分析，具溝通協調、程式撰寫和基礎硬體知識。
 -程式開發：負責編寫程式，熟悉 C#. ASP . NET 程式語言，對使用者介面、程式設計及資料庫設計有基礎，熟悉資料庫存取指令（SQL），具備MVC架構開發經驗。
 -程式測試：負責系統相容性及程式穩定性的測試，了解系統開發架構，確認所有功能的效果，並回報測試結果。
 -程式維護：維護及優化負責的程式。 
2.熟悉醫療業資訊系統及運作流程尤佳。
3.具有一年以上相關工作經驗尤佳。
4.主管交辦事項。","(一)享有員工健康檢查。
(二)員工及其眷屬享有醫療優待。
(三)設有員工宿舍。
(四)院內外各項在職訓練及學術研討會。
(五)各項節慶活動辦理，如護師節、醫師節、旺年會、家庭日….等。
(六)員工旅遊補助。
(七)婚喪賀奠補助。
(八)三節獎金。
(九)生日禮金。
(十)享有本院特約商店之折扣優待
(十一)設有圖書館供書籍之借閱及代購書籍….等。
(十二)在職進修設有公假及公費補助。
(十三)其他福利(適用對象及申請條件依醫院規則)：
1.假日津貼
2.租屋補助
3.留任簽約金
4.留任獎金
5.揪團獎金
6.推薦獎金
7.人才培育獎金"
10V0-數位轉型科技辦公室 系統工程師(醫療AI物聯網),中國醫藥大學附設醫院,待遇面議,"1.資訊或電機工程相關科系畢業，或具有兩年以上相關工作經驗之非本科系畢業生。
2.急救證照：BLS證照，入職後會再安排參與院內受訓並取得證照。
3.熟悉Python、TypeScript、JavaScript等程式設計語言。
4.具網頁前後端設計與開發經驗。
5.熟悉 MQTT 等 IoT 相關網路 Protocol。","1、醫療優待。 
2、員工體檢。 
3、三節獎金：端午、中秋、年終獎金。 
4、津貼補助：生日、結婚、生育、疾病、喪葬、急難救助金等。 
5、每月員工慶生會。
6、員工及子女教育補助。 
7、社團補助。 
8、團體意外保險。 
9、特約廠商消費折扣優惠。 
10、不定期禮品發放。
***以上為正職員工福利***"
行政專員（總薪資38000~45000 )， 打字快 50字/分 以上 熟悉電腦相關操作 資料處理 會計 相關科系佳 院內有晉升管道 可以轉美容諮詢,靚優健康醫學美容診所,"月薪38,000~45,000元","靚優健康醫學美容診所 - 診所特助

公司簡介：
靚優健康醫學美容診所自2019年成立以來，一直致力於提供最優質的醫學美容服務。隨著業務持續擴展，我們熱切期待有才華的您加入我們的團隊，一起展望未來。

職務類別：
診所特助

工作內容：

櫃檯服務：提供親切、微笑的熱心接待。
診所事務支援：協助處理日常診所運營相關事務。
院長特助：直接協助院長處理專案及日常事務。
我們期待您具備：

文書處理速度快（50-75字/分鐘以上），熟悉Excel、Word等Office軟件。
對醫學美容行業有興趣者佳。
耐心、細心、積極熱心，並願意學習新知。
基本Office電腦操作能力。
清晰的口條、良好的溝通能力及樂觀個性。
我們提供：

競爭力的薪資與績效獎金。
專業成長和持續教育的機會。
支持和鼓勵的工作環境。
加入靚優，您將與我們一起追求卓越，為客戶創造價值。

來吧，我們熱切期待您的加入！
","★員工福利★
1.薪資：具市場競爭力的薪資水準
2.獎金：年終獎金、銷售獎金、三節獎金(或禮品)、業績達標獎金
3.保險：勞保、健保、勞退提撥
4.休閒：不定期部門聚餐 旅遊
5.制度：提供員工制服、教育訓練
6.休假：依人事行政局休假，一切符合勞基法規定之假別及加班制度
7.其他：享有員購價，親友優惠價"
資訊室程式設計師,振興醫療財團法人振興醫院,"月薪38,500~49,000元","職務說明 : 
1.熟悉系統架構並進行開發與調校。 
2.快速定位及解決問題。 
3.具備醫療系統開發經驗者尤佳。 
4.具備分析能力者尤佳。 
5.配合公司安排學習醫療系統所需程式語言。

相關經驗 : 
1.兩年以上.NET(c#)開發經驗，熟悉ASP.NET MVC者尤佳。 
2.熟悉SQL。 
3.熟悉Restful API尤佳。
4.熟悉DLL開發。 
5.熟網頁前端語言(JavaScript/TypeScript/Vue/CSS)。
6.具備Power Builder軟體開發經驗者佳。


★面試時建議備妥相關程式開發經歷說明，亦歡迎展示個人作品。 
★試用期滿45000以上、具殊資歷或經驗,可另商議薪資。 
","◆ 獎金
1.年終獎金2.三節獎金3.特別獎金4.績效獎金
◆ 保險類
1.勞保2.健保3.員工團保(壽險90萬、意外險400萬及意外醫療2 萬元)4.本院員工/眷屬就醫醫療優待
◆ 休閒類
1.國內旅遊2.國外旅遊補助3.社團活動
◆ 制度類
伙食費
◆ 設備類
1.員工宿舍2.捷運站接駁車3.員工餐廳4.圖書館5.哺乳室
◆ 請 / 休假制度
1.依勞基法規定2.年假/特別休假3.陪產檢及陪產假4.家庭照顧假5.生理假6.育嬰假
◆ 其他
1.員工停車位2.健康檢查3.特約商店
◆ 補助類
1.結婚禮金2.生育津貼3.員工進修補助4.員工教育獎助學金5.子女教育獎助學金6.PayEasy點數"
10R0-大數據中心 系統工程師,中國醫藥大學附設醫院,待遇面議,"1.醫療系統應用與開發，包含去識別化、資料標註、特徵生成、分析成效驗證、文本大數據分析等等。
2.支援人工智慧應用技術產品化歷程發展，包含運算平台模組架構、框架規範、資料介面、部署設計等執行協助。
3.具有資料庫建置,管理,維護經驗。
4.具有Restful API和Python web框架(Flask, Django) 開發經驗
5.熟悉以下語言(一項或多項)：有物件導向觀念，並且熟悉Java或Python程式開發，具雲端架構,平行運算或大數據分析架構有實務經驗尤佳
6.擁有MLOps經驗尤佳
7.對於學習新技術具有熱情，具備良好的溝通及團隊合作能力

","1、醫療優待。 
2、員工體檢。 
3、三節獎金：端午、中秋、年終獎金。 
4、津貼補助：生日、結婚、生育、疾病、喪葬、急難救助金等。 
5、每月員工慶生會。
6、員工及子女教育補助。 
7、社團補助。 
8、團體意外保險。 
9、特約廠商消費折扣優惠。 
10、不定期禮品發放。
***以上為正職員工福利***"
1MC0-人工智慧中心 演算法研發工程師(NLP),中國醫藥大學附設醫院,"月薪41,000~100,000元","醫療 AI 臨床應用專案開發，需有機器學習或深度學習相關背景經驗
具下列其一領域具有相關經驗者，歡迎投遞 
1.電腦視覺技術原理與開發及醫學影像應用。
2.生物醫學訊號處理之演算法開發及驗證 。
3.NLP自然語言處理。
4.生物資訊等基因序列比對、辨識等精準醫學模型開發。
5.三維手術規劃軟體開發。
上述之醫療AI解決方案演算法開發。","1、醫療優待。 
2、員工體檢。 
3、三節獎金：端午、中秋、年終獎金。 
4、津貼補助：生日、結婚、生育、疾病、喪葬、急難救助金等。 
5、每月員工慶生會。
6、員工及子女教育補助。 
7、社團補助。 
8、團體意外保險。 
9、特約廠商消費折扣優惠。 
10、不定期禮品發放。
***以上為正職員工福利***"
