Job Name,Company Name,Salary,Description,Welfare
資訊室硬體工程師,大千綜合醫院,"月薪33,000~38,000元","1.硬體維護。
2.網路設備維護。
3.需配合值班(OnCall)。

※居住苗栗地區者優先面談","●福利制度
－依法提撥勞工退休金至個人帳戶
－免費團體保險(保障含定期壽險、意外險、意外醫療險)
－提供年終績效獎金、端午節禮金、中秋節禮金、生日禮金
－補助員工旅遊、宿舍、伙食費、制服費
－提供社團活動
－補助教育訓練費用及公假、輔導應屆畢業學生專業執照考試
－提供完整的升遷及進階制度
***以上為正職員工福利***

●教育進修
  －完善教育訓練制度，明確的晉升制度，並與各大院校規劃產學合作課程，積極推動員工在職進修
  －院內使用數位學習平台，推展學習型組織，讓員工隨時上線學習
  －訓練公假及公費補助

●豐富的學術資源
  －與中山醫學大學、元培科技大學產學合作，鼓勵同仁結合學術資源，參與學術計劃
  －大千圖書館由專人服務，提供免費資料庫搜尋，協助研究、教材資料彙整

●資訊化管理
  －結合先進資訊系統，發展電子公文、知識管理系統與主管決策系統(BIKM)，數位管理模式加速管理績效


其他重要提醒：錄取人員須完成COVID-19疫苗二劑14天以上或3 日內抗原快篩 (含家用快篩)或PCR 檢驗陰性證明。"
約用中級(三)管理師1名(資訊室-駐局),新北市立聯合醫院,"年薪626,000元","學　　歷：
1.學歷大學以上，資訊相關科系尤佳。
2.或碩士以上畢業者，並具2年以上系統研發經驗，經本院認定者。
3.或具5年以上系統分析、網路管理或系統研發經驗，經本院認定者。
證　　照：具相關證照。
工作經歷：資訊相關經歷。
工作內容：
1.相關資訊系統處理聯繫溝通。
2.維護管理內部電腦。
3.熟公文文書尤佳、熱忱願意學習者亦可。
工作時間：日班(需配合活動支援)
工作地點：駐新北市政府衛生局
工作待遇：視所具資格條件依本院薪資表敘薪
工作薪資：年薪約626,000元 (含年終獎金)
刊登日期：2025/1/13-2025/1/20
備　　註：1.合者擇優約談，不合者恕不通知及退件。
　　　　　2.本院為無菸、無檳醫院，無吸菸、嚼檳榔習慣者酌予加分。",有獎勵金制度、生日禮金、依單位屬性穿著員工制服及提供專業證照加給　　　　　　　　　　
程式設計師,阮綜合醫療社團法人阮綜合醫院,"月薪30,000~40,000元","1.熟悉VB或VB.net或C#.net等微軟開發工具
2.熟悉PL/SQL語法佳
3.熟悉網頁製作工具佳
4.相關工作經歷一年以上
5.應屆畢業生及一年以下工作經歷者請附成績單","福利制度
◆休假制度：
非醫師人員依勞基法實施，採四週變形工時按單位特性排休；特別休假依勞基法規定給予。
◆保險類：
勞保、健保、勞工退休金、團體保險。
◆制度類：
提供員工制服、員工提案獎金、完整的教育訓練。
◆職場友善措施：
圖書館、哺乳室、員工停車場、員工宿舍。
◆健康促進活動：
每年員工健康檢查、員工減重比賽、健康講座、健康促進運動課程、員工社團補助、員工舒壓課程。
◆獎金：
年終獎金、節慶獎金(端午節/中秋節)、春節出勤紅包、特殊單位簽約金、特殊單位績效獎金、特殊單位推薦獎金、進階獎金、年資加給。
◆優惠補助：
在職員工及眷屬就醫優待、退休員工就醫優待、結婚禮金、生育津貼、喪葬奠儀、旅遊補助、員工購物優惠、特約商店優惠、停車獎勵金、在職進修補助。
◆員工出差或派訓：
出差住宿補助、學術論文發表補助。
◆員工團體活動：
尾牙活動和抽獎、不定期電影賞析活動。
◆早鳥方案(護理/藥師)：
護理及藥劑科應屆畢業生持有證照者於5月～8月前至本院就職，另有獎勵方案。"
10V0-數位轉型科技辦公室 演算法工程師,中國醫藥大學附設醫院,待遇面議,"1.	醫療資訊系統指示性分析(prescriptive analytics)。
2.	大型語言模型演算法開發。","1、醫療優待。 
2、員工體檢。 
3、三節獎金：端午、中秋、年終獎金。 
4、津貼補助：生日、結婚、生育、疾病、喪葬、急難救助金等。 
5、每月員工慶生會。
6、員工及子女教育補助。 
7、社團補助。 
8、團體意外保險。 
9、特約廠商消費折扣優惠。 
10、不定期禮品發放。
***以上為正職員工福利***"
ASP.NET程式設計師(彰化),秀傳醫療體系_秀傳醫療社團法人秀傳紀念醫院,"月薪35,000~50,000元","1. 需求訪談、系統分析設計開發
2. 以ASP.NET MVC開發維護Web Application。
3. 現有ASP.Net 網站系統維護與更新。
4.  系統佈署。","1.醫療福利: 
	員工及員工之配偶、父母、祖父母、子女、兄弟姐妹、配偶之父母皆享有就醫折扣。
	每年員工免費健康檢查，員眷高檢套餐優惠。 
2.婚喪節慶福利:
	三節獎金：端午、中秋、年終獎金 。
	結婚及生產禮金及禮品、生日禮卷、喪葬補助、住院慰問金及禮品。
3.活動福利:
	每年員工旅遊及聚餐補助、各類康樂社團補助。 
	各晚會及活動：迎新會、護師節晚會、中秋節及忘年晚會、親子家庭日活動、院慶活動等。
	員工及子女獎學金。
4. 保險福利：享有勞健保、勞退、員工免費團體意外保險(100萬意外險、14萬壽
險、6萬重大疾病險)。
5.其他福利: 
	員工24小時愛書人俱樂部：享受機場貴賓室的頂級服務，早餐、上下午茶、宵夜免費，並設有按摩椅及休息室。
	免費健身中心。
	伙食補助: 午晚餐餐費補助。
	提供住宿、員工停車場、制服及鞋子、交通車服務。
	設有托嬰中心。
	醫院7-11、全家、義美、85度C、藥妝店等院內商店9折。
	 特約商店優惠。
※以上相關福利設施依各院區設置為主※
"
總院 資訊部 系統網路組 助理程式師(約聘),國泰醫療財團法人國泰綜合醫院,"月薪40,200元","1.電腦及印表機設備安裝與維修
2.系統與網路設備監控及維護
3.文件製作","本院正職員工享有健全福利制度
1.提供完善的在職教育訓練及國內外各項研習、進修課程機會
2.享有勞保、健保、團保(含眷屬) 
3.年終獎金、端午代金、中秋代金、婚喪禮金
4.子女教育補助費、國內外旅遊補助及康樂社團活動等
5.年終餐會補助、生日贈點商品
6.關係企業商品優惠、企業購屋優惠、企業員工房貸優惠及企業壽險保費優惠
7.員工及眷屬、退休員工就醫優待
8.午餐或晚餐便當費用補助
9.定點交通車接駁服務
10.員工托兒及托嬰服務"
資訊室軟體工程師(台中/苗栗),大千綜合醫院,"月薪35,000~43,000元","1. 負責程式設計、開發、測試、維護。 
2.程式設計：負責系統的規劃/分析，具溝通協調、程式撰寫和基礎硬體知識。  
3.程式開發：負責編寫程式，熟悉Delphi、ASP、 C# 程式語言，對使用者介面、程式設計及資料庫設計有基礎，熟悉資料庫存取指令（SQL）。  
4.程式測試：負責系統相容性及程式穩定性的測試，了解系統開發架構，確認所有功能的效果，並回報測試結果。 
5.程式維護：維護及優化負責的系統及其程式。
6. 熟悉或具有醫療資訊系統及作業流程經驗尤佳。 
7.主管交辦事項。","●福利制度
－依法提撥勞工退休金至個人帳戶
－免費團體保險(保障含定期壽險、意外險、意外醫療險)
－提供年終績效獎金、端午節禮金、中秋節禮金、生日禮金
－補助員工旅遊、宿舍、伙食費、制服費
－提供社團活動
－補助教育訓練費用及公假、輔導應屆畢業學生專業執照考試
－提供完整的升遷及進階制度
***以上為正職員工福利***

●教育進修
  －完善教育訓練制度，明確的晉升制度，並與各大院校規劃產學合作課程，積極推動員工在職進修
  －院內使用數位學習平台，推展學習型組織，讓員工隨時上線學習
  －訓練公假及公費補助

●豐富的學術資源
  －與中山醫學大學、元培科技大學產學合作，鼓勵同仁結合學術資源，參與學術計劃
  －大千圖書館由專人服務，提供免費資料庫搜尋，協助研究、教材資料彙整

●資訊化管理
  －結合先進資訊系統，發展電子公文、知識管理系統與主管決策系統(BIKM)，數位管理模式加速管理績效


其他重要提醒：錄取人員須完成COVID-19疫苗二劑14天以上或3 日內抗原快篩 (含家用快篩)或PCR 檢驗陰性證明。"
流程服務課-系統分析師(職代至2025年6月30日),臺灣基督教門諾會醫療財團法人門諾醫院,"月薪33,000~34,000元","工作內容：
．線上系統服務櫃台(ServiceDesk)、系統異動管理、帳號及權限管理。(如：客戶問題判斷及簡易排除、服務登陸、事件分類、處理回覆、上線管理、系統維運教育訓練)
．依流程服務課分工，執行所負責業務
．參與流程服務課作業及知識資料庫，紀錄工作程序及分享相關專業文章

薪資待遇：
．大學學歷以上起薪31,270元
．平均月薪可達33,000-34,000元(含績效獎金)

排班制度：日班(08:00-17:00)

福利制度：
．員工宿舍
．員工體檢
．每月餐費補助
．國內旅遊補助
．三節獎金、聖誕獎金、生日禮金
．本人及配偶與直系親屬享本院就醫優待","◆ 獎金/禮品類
	年終獎金、三節獎金、生日禮金
◆ 保險類
	勞保、健保、勞退提撥
◆ 休閒類
	1.國內旅遊、運動競賽
◆ 制度類
	1.員工制服
	2.伙食費
	3.介紹獎金
	4.績效獎金
	5.完整的教育訓練
◆ 設備類
	1.員工宿舍
	2.員工餐廳
	3.圖書館
◆ 請 / 休假制度
	1.陪產假
	2.家庭照顧假
	3.育嬰假
	4.生理假
◆ 其他
	1.員工購物優惠
	2.健康檢查、醫療優待
	3.特約商店
◆ 補助類
	1.婚喪喜慶等禮金
	2.社團補助
	3.員工進修補助
	4.住院慰問金
	5.退職金提撥"
資訊管理部-系統課 系統管理師,醫療財團法人羅許基金會羅東博愛醫院,"月薪33,600~37,200元","★除月薪外，另有留任獎金每半年6,000元★

【工作內容】
1.資訊系統與應用服務規劃。
2.系統稽核與監控。
3.儲存設備稽核與監控。
4.系統與應用服務異常排除並改善問題。
5.跨部門協調應用服務執行功能。

===工作經驗滿一年以上，月薪37,000~41,000元===

【本院簡介】
1.為宜蘭規模最大的區域教學醫院。
2.提供新進同仁完善教學訓練及導師輔導。
3.生活機能便利，有首都、葛瑪蘭、國光號、台鐵…等方式供選擇。
4.醫院離羅東夜市僅5分鐘路程，宜蘭空氣清新、生活居住環境適宜，物價低，可享受慢活樂趣。","員工福利制度

1.薪資：除基本薪資外，符合資格者另享有津貼，津貼包含職級津貼、特殊津貼、執照津貼、大小夜班津貼、夜班包班津貼等。

2.休假：依勞基法規範例假日、休息日及國定假日給假；婚假8天可分次申請，其他含喪假、產檢假(於下班時間產檢者，一次產檢給予4小時補休時數。)、產假、陪產檢及陪產假、女性生理假等均依法給予，保障員工權益。當縣府公告因颱風停止上班，該時段上班者，加發颱風出勤加給。

3.保險：依法員工享有團體保險、勞工保險、全民健康保險、勞工退休金提撥。

4.員工健康檢查。

5.年節福利金(限正職人員)：
(1)端午及中秋節禮金各為10,000元；
(2)年終獎金乃依該年度醫院營運狀況，同時考量各別員工於該年度之考核表現予以核發0.5至1.3個月不等之全薪獎金數額。
(3)以上福利金未滿一年按比例發給。

6.「食」的福利：
(1)本院設有員工專屬餐廳。
(2)農曆春節期間出勤者免費供應餐點。
(3)颱風天出勤者免費供應餐點。

7.「衣」的福利：醫師及護理新進人員制服每人發放2套。

8.「住」的福利：設有舒適、設備齊全之員工宿舍供外縣市員工申請。

9.「行」的福利：因公務出勤可申請車資補助。

10.「育」的福利：
   (1)各職系人員設有完整的職前教育及在職教育制度。
   (2)參加院內及院外醫療機關、學術團體、公會等之各種訓練和研習會，可申請公假公費。
   (3)教育研究享有論文獎勵金補助及研究計劃經費補助，學術研討會可申請公費聘任專業講師來院授課。
   (4)院內設置圖書館免費提供完整的資料檢索、圖書期刊書報閱覽及網際網路服務。
   (5)本院設有幼兒園托育服務。

11.「樂」的福利：員工旅遊補助、特約商店優惠、豐富的社團活動、友善家庭活動、工作與生活平衡活動。

12.其他補助性福利：
   (1)員工本人及眷屬享有醫療優待。
   (2)員工生日禮金。
   (3)員工婚禮賀金、喪禮奠金、員工罹患重大傷病或死亡之急難慰問金。
   (4)提供醫療爭議案件之醫療互助金。
   (5)每年度與鄰近地區商店特約合作，提供院內員工購物消費優惠。
   (6)農曆春節期間出勤者另發予春節紅包。
"
資訊管理部-軟體課 程式設計師,醫療財團法人羅許基金會羅東博愛醫院,"月薪33,600~37,200元","★除月薪外，另有留任獎金每半年6,000元★

【工作內容】
1.負責網頁程式開發製作。
2.進行網頁程式之測試、修改與維護。
3.專案開發架構規劃、執行進度管理。
4.主動研發新工具、技術。
5.參與開發行動裝置 APP / WebAPP。
6.加分條件：熟悉 Python, Java, Flex 或有 APP 開發經驗者佳
  應用系統開發維護: 企業資源規劃系統(ERP)、醫療資訊系統(HIS)
  對Java、Flex、Oracle、Python、PostgreSQL 有開發及學習興趣者。


【本院簡介】
1.為宜蘭規模最大的區域教學醫院。
2.提供新進同仁完善教學訓練及導師輔導。
3.生活機能便利，有首都、葛瑪蘭、國光號、台鐵…等方式供選擇。
4.醫院離羅東夜市僅5分鐘路程，宜蘭空氣清新、生活居住環境適宜，物價低，可享受慢活樂趣。","員工福利制度

1.薪資：除基本薪資外，符合資格者另享有津貼，津貼包含職級津貼、特殊津貼、執照津貼、大小夜班津貼、夜班包班津貼等。

2.休假：依勞基法規範例假日、休息日及國定假日給假；婚假8天可分次申請，其他含喪假、產檢假(於下班時間產檢者，一次產檢給予4小時補休時數。)、產假、陪產檢及陪產假、女性生理假等均依法給予，保障員工權益。當縣府公告因颱風停止上班，該時段上班者，加發颱風出勤加給。

3.保險：依法員工享有團體保險、勞工保險、全民健康保險、勞工退休金提撥。

4.員工健康檢查。

5.年節福利金(限正職人員)：
(1)端午及中秋節禮金各為10,000元；
(2)年終獎金乃依該年度醫院營運狀況，同時考量各別員工於該年度之考核表現予以核發0.5至1.3個月不等之全薪獎金數額。
(3)以上福利金未滿一年按比例發給。

6.「食」的福利：
(1)本院設有員工專屬餐廳。
(2)農曆春節期間出勤者免費供應餐點。
(3)颱風天出勤者免費供應餐點。

7.「衣」的福利：醫師及護理新進人員制服每人發放2套。

8.「住」的福利：設有舒適、設備齊全之員工宿舍供外縣市員工申請。

9.「行」的福利：因公務出勤可申請車資補助。

10.「育」的福利：
   (1)各職系人員設有完整的職前教育及在職教育制度。
   (2)參加院內及院外醫療機關、學術團體、公會等之各種訓練和研習會，可申請公假公費。
   (3)教育研究享有論文獎勵金補助及研究計劃經費補助，學術研討會可申請公費聘任專業講師來院授課。
   (4)院內設置圖書館免費提供完整的資料檢索、圖書期刊書報閱覽及網際網路服務。
   (5)本院設有幼兒園托育服務。

11.「樂」的福利：員工旅遊補助、特約商店優惠、豐富的社團活動、友善家庭活動、工作與生活平衡活動。

12.其他補助性福利：
   (1)員工本人及眷屬享有醫療優待。
   (2)員工生日禮金。
   (3)員工婚禮賀金、喪禮奠金、員工罹患重大傷病或死亡之急難慰問金。
   (4)提供醫療爭議案件之醫療互助金。
   (5)每年度與鄰近地區商店特約合作，提供院內員工購物消費優惠。
   (6)農曆春節期間出勤者另發予春節紅包。
"
總院 資訊部 系統網路組 助理程式師(兼職),國泰醫療財團法人國泰綜合醫院,時薪190元,"1.電腦及印表機設備安裝與維修
2.系統與網路設備監控及維護
3.文件製作","本院正職員工享有健全福利制度
1.提供完善的在職教育訓練及國內外各項研習、進修課程機會
2.享有勞保、健保、團保(含眷屬) 
3.年終獎金、端午代金、中秋代金、婚喪禮金
4.子女教育補助費、國內外旅遊補助及康樂社團活動等
5.年終餐會補助、生日贈點商品
6.關係企業商品優惠、企業購屋優惠、企業員工房貸優惠及企業壽險保費優惠
7.員工及眷屬、退休員工就醫優待
8.午餐或晚餐便當費用補助
9.定點交通車接駁服務
10.員工托兒及托嬰服務"
資訊人員,馨蕙馨醫院,"月薪32,000~38,000元","1.具WINDOWS/資訊系統及相關應用基本軟體操作。
2.電腦、印表機、資訊設備簡易故障排除與技術支援。.
3.協助院所同仁軟硬體問題排除。
4.具備網路基礎知識(TCP/IP通訊架構、網路設備管理維護）。 
5.日常網路設備狀況檢查。 
6.主管交辦協助事項。
","1.獎金福利 - 三節禮金、生日禮金、結婚禮金、生育禮金、年終獎金、生產獎金.
2.保險規劃 - 依法投保勞健保、提撥勞退金，並享團體保險保障.
3.員工(眷)補助 - 員工掛號與住院折扣、眷屬就醫優惠 .
4.其他福利 -員工制服、員工撫恤金、特約商店、五星級工作環境、員工年度體檢、春酒、國內外員工旅遊 ."
健康管理部-高級專員,盛弘醫藥股份有限公司,待遇面議,"1.健康管理部資訊系統規劃與管理。
2.部門/單位溝通與協調。
3.健康管理部資訊問題分析及排除。
4.健康管理部資訊系統規劃與管理。
5.長官交辦事宜。","◆ 獎金類
	1.年終獎金
	2.三節獎金
◆ 保險類
	1.勞保
	2.健保
◆ 休閒類
	1.國內旅遊
	2.國外旅遊
	3.社團活動
◆ 制度類
	1.伙食費
◆ 請 / 休假制度
	1.依勞基法規定
◆ 其他
	1.健康檢查
◆ 補助類
	1.結婚禮金
	2.生育津貼
	3.社團補助
	4.員工教育獎助學金
	5.子女教育獎助學金
	6.旅遊補助
●　公司產品優惠價"
[資訊]資訊處/系統網路組工程師,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,待遇面議,網路及作業系統維護運作。,"依照勞基法辦理。本院福利齊全，設有員工福利委員會；除勞保健保外,本院專任全職員工另有員工眷屬醫療優待、員工及眷屬喪葬補助、社團及旅遊活動、退休制度、特別休假、撫卹辦法、團體意外保險、防癌保險、三節及生日禮金、員工餐廳、誤餐費、員工制服、員工結婚補助、子女教育補助、在職教育訓練、員工國內(外)進修補助等。"
約用資訊工程師(資訊中心),衛生福利部臺北醫院,"月薪45,000元以上","1.基本軟硬體故障排除
2.醫療系統問題故障排除
3.協助相關系統換裝業務
4.其他主管交辦事項


",
